lam_N,mu,max_coeff_abs_diff,max_root_abs_mismatch,direct_eigs_real,direct_eigs_imag,a_S
1.0,6.0,1.1368683772161603e-13,4.6908121119235805e-14,"[-112.87148157124363, -0.9996382787505144, -0.10000000000002066, -0.10035883559680227]","[-3.541441642464997e-18, 2.764336778520751e-17, 6.694469437682943e-16, -6.757886788687463e-16]",-0.1
1.0,-3.0,1.4210854715202004e-13,1.1102231472340093e-15,"[-112.86506804580654, -0.9940372327021146, -0.180013869597309, -0.03235953748503032]","[-8.914099462553436e-20, -8.298616837325689e-19, -9.993223219199165e-19, -3.0253615731651497e-20]",-0.1
1.0,1.5,1.1368683772161603e-13,1.421085471688072e-14,"[-112.86691221665806, -0.9968614563750825, -0.15593286507132179, -0.051772147486420825]","[-1.690343367503801e-18, 7.322907147424296e-18, 1.947195388543814e-17, -7.672141114959077e-18]",-0.1
2.0,6.0,2.6645352591003757e-15,1.790180836524724e-15,"[-4.09489284779203, -0.42767921171426576, -0.4276792117142658, -0.10000000000000016]","[3.3306690738754696e-16, 0.8060805169546851, -0.8060805169546851, -2.960147296795245e-17]",-0.1
2.0,-3.0,1.7763568394002505e-15,3.0531133177191805e-16,"[-3.324263822001668, -1.618259687956487, -0.21079448061387712, 0.1030667193514754]","[0.0, 0.0, 0.0, 0.0]",-0.1
2.0,1.5,4.440892098500626e-15,8.881957667654818e-15,"[-3.719942778400876, -0.6325248335605174, -0.6325248335605175, -0.06525882569864698]","[5.551115123125783e-17, 0.3928097821241661, -0.3928097821241662, -1.7550340722696918e-19]",-0.1
5.623,6.0,9.325873406851315e-15,1.4210854715202004e-14,"[-27.1686962726432, -0.5338011040791901, -0.5338011040791907, -0.09999999999999962]","[-1.1102230246251565e-16, 0.8121727505323626, -0.812172750532363, 1.8869038143377903e-18]",-0.1
5.623,-3.0,1.7763568394002505e-14,3.197442310920451e-14,"[-27.080609651163357, -1.3619732380320528, 0.21630019376428092, -0.11001578537043732]","[0.0, 0.0, 0.0, 0.0]",-0.1
5.623,1.5,1.4210854715202004e-14,3.552822097363439e-15,"[-27.116402158422957, -0.5640186374534176, -0.5640186374534173, -0.09185904747178623]","[-2.7755575615628914e-17, 0.17293188028969528, -0.17293188028969533, 2.146273124506218e-18]",-0.1
