lam_N,G_exact_minus3,G_eff
0.5,0.002281427204534945,0.008586254413499767
0.5108023252908401,0.0026883553317009127,0.010118149520286833
0.5218380310450585,0.0031719801272432346,0.01193885190739094
0.533112159366019,0.003747227417893326,0.014104583263505494
0.5446298612899668,0.004431966404221731,0.016682656227663562
0.5563963991394856,0.005247584979410868,0.0197536432713524
0.5684171489277993,0.006219672245128866,0.02341394999191562
0.5806976028150193,0.007378825427047054,0.027778857816080756
0.5932433716174571,0.008761599795868491,0.03298610646169786
0.6060601873711502,0.010411620985887878,0.039200089550358974
0.6191539059507716,0.012380878781659003,0.046616735662627404
0.6325305097451205,0.014731219295016713,0.05546913918021243
0.6461961103904159,0.01753604746341301,0.0660339866494466
0.6601569515626418,0.02088224253594238,0.07863878975444258
0.6744194118302198,0.024872273770485228,0.09366987814892942
0.6889900075683141,0.029626479438102378,0.11158101494656406
0.7038753959360967,0.03528543633952427,0.13290236303857142
0.719082377918338,0.04201229578305633,0.1582493380667192
0.7346179014327073,0.049994891637235174,0.18833061986735244
0.7504890645042082,0.05944733354616403,0.2239542468437666
0.7667031185081937,0.07061068275490505,0.2660302835617911
0.7832674714834479,0.08375217271520433,0.3155680440086591
0.8001896915168439,0.09916229302476956,0.37366531392691144
0.8174775102011279,0.1171489280368069,0.4414865385391287
0.8351388261674052,0.13802767104067573,0.520226678719148
0.8531817086939466,0.16210748407386683,0.6110576255566693
0.8716144013929602,0.1896711213529015,0.715054998097687
0.8904453259770155,0.2209502657288201,0.8331051504458443
0.9096830861068392,0.2560962021995364,0.9657955068288492
0.9293364713222422,0.2951480576323292,1.1132958784560436
0.9494144610579709,0.3380020299417106,1.2752436609422102
0.9699262287463226,0.3843863020868539,1.4506505948326176
0.9908811460083938,0.43384702323892166,1.6378513499772642
1.01228878693588,0.4857503398508903,1.834512677314786
1.0341589324653828,0.539303646672122,2.0377150252154763
1.0565015748472208,0.5935960933868163,2.244106676113933
1.07932692221079,0.6476545687008439,2.450116022102208
1.1026454032285544,0.700507969002076,2.652194594678481
1.126467671880803,0.7512506766127972,2.8470561074433007
1.1508046123233469,0.7990965252229945,3.0318776114296364
1.1756673438603786,0.8434170728114934,3.2044375651446315
1.2010672260247743,0.883762003169356,3.3631791114169856
1.2270158637681476,0.9198639341681761,3.5072007371210008
1.253525112763037,0.951634119365441,3.6361868716415695
1.2806070848196436,0.9791595743240812,3.750295670462401
1.3082741534195963,1.0027172525112078,3.8500199347906077
1.3365389593692703,1.0228294520299233,3.936030978324842
1.365414416575246,1.040398472771921,4.009007548106228
1.3949137179445428,1.0569651659458321,4.06945573477837
1.4250503414123272,1.0750469198578596,4.117591249540302
1.4558380560998447,1.0980755476622461,4.15356465812148
1.4872909286053944,1.1289508269020843,4.17833178415282
1.519423329431217,1.1679591683323753,4.1942949334677
1.5522499395492315,1.2130603020473298,4.204414167438159
1.585785757108627,1.2618680971452967,4.211001005569283
1.6200461042883638,1.3126542683831246,4.215482176563532
1.6550466342977264,1.3643493945366418,4.21867136084763
1.690803338528115,1.416314812238781,4.221033236441359
1.7273325538593531,1.4681650819613083,4.222842003014555
1.7646509701238458,1.5196618499133778,4.224266269722679
1.8027756377319946,1.5706539718496926,4.225414023196246
1.84172397546236,1.6210436309343994,4.226357042021494
1.8815137784201277,1.6707666992001726,4.227144634756118
1.9221632261675115,1.7197810025024534,4.227811667043869
1.9636908910298156,1.7680590851239293,4.228383423717248
2.006115746580943,1.815583613181263,4.228878653229479
2.049457176312231,1.8623443722223394,4.2293115319614705
2.093734982488574,1.908336255749077,4.229692966505389
2.13896939519588,1.9535578859739802,4.230031478082215
2.185181081583995,1.9980106480988469,4.230333816649089
2.232391155309315,2.041698000987771,4.230605395677168
2.2806211861814063,2.0846249764807934,4.230850605573729
2.3298932100180334,2.126797809875748,4.231073043329704
2.380229738713102,2.1682236631044907,4.231275683159257
2.431653770522123,2.2089104146173653,4.2314610051746255
2.4841888005698785,2.248866497831983,4.231631093514411
2.5378588315851136,2.2881007754972926,4.231787712066883
2.592688384867141,2.3266224409299205,4.231932363503744
2.6487025114893776,2.36444093960147,4.232066335785361
2.7059268037449242,2.401565906294519,4.232190739065922
2.764387406839436,2.4380071143109063,4.232306535284748
2.8241110308365993,2.47377443408491,4.232414562042529
2.8851249628616924,2.5088777992123314,4.232515552018966
2.947457079568803,2.543327178376608,4.232610148871273
3.011135859877387,2.5771325519916,4.232698920321924
3.076190397984005,2.61030389268876,4.232782369033685
3.142650416655169,2.6428511488808875,4.232860941638281
3.2105462808073764,2.6747842309020196,4.232935036328126
3.2799090113805316,2.706112999243966,4.233005009239058
3.350770299511113,2.7368472545482327,4.233071179854737
3.4231625210115233,2.766996729059337,4.23313383559464
3.49711875116228,2.7965710793220753,4.233193235737451
3.572672779823784,2.825579879916174,4.233249614777678
3.649859126874556,2.8540326180897444,4.233303185317019
3.728713057983038,2.8819386891481273,4.2333541405530015
3.8092706007201107,2.9093073925210122,4.233402656455666
3.891568561019735,2.9361479283708127,4.233448893627917
3.975644539995219,2.9624693947239837,4.233492998958058
4.0615369511187795,2.9882807850223028,4.233535107048195
4.149285037772285,3.0135909860597274,4.233575341472759
4.23892889117715,3.0384087762605905,4.233613815891765
4.33050946871162,3.0627428242391135,4.233650635014197
4.424068612623794,3.086601687605505,4.233685895419084
4.519649069148908,3.1099938121541117,4.233719686477943
4.617294508039688,3.132927530996684,4.233752090835001
4.717049542518597,3.1554110641223025,4.233783185130454
4.818959749661185,3.1774525180189155,4.2338130405116114
4.923071691219797,3.199059885470692,4.233841723117396
5.029432934897161,3.2202410455008557,4.23386929452063
5.13809207607961,3.2410037642753498,4.233895812197489
5.249098760039808,3.2613556909649164,4.2339213293415705
5.362503704619201,3.2813043667225084,4.233945896340295
5.478358723400462,3.3008572163274352,4.233969559854113
5.596716749380631,3.320021553011927,4.233992363691391
5.717631859155638,3.3388045781436224,4.2340143489140845
5.841159297627376,3.3572133818154493,4.2340355540526495
5.96735550324455,3.37525494352934,4.234056015294984
6.096278133788814,3.392936132934481,4.234075766668918
6.2279860927180595,3.410263710606467,4.2340948401903375
6.362539556078799,3.42724432889297,4.234113266018531
6.5,3.443884532793798,4.234131072586171
