lam_N,mu,pole_index,re,im,G_exact_DC,G_exact_DC_imag,mark,D_star,N_star,A_star,S_star
0.5,6.0,0,-0.10000000000000211,0.0,-9.006290666846247e-06,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5,6.0,1,-0.10000100121651943,0.0,-9.006290666846247e-06,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5,6.0,2,-0.9999989941114242,0.0,-9.006290666846247e-06,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5,6.0,3,-193.86882345527383,0.0,-9.006290666846247e-06,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5,-3.0,0,-0.09578147939097889,0.0,0.002281427204534945,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5,-3.0,1,-0.10611262225031277,0.0,0.002281427204534945,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5,-3.0,2,-0.9999716582476013,0.0,0.002281427204534945,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5,-3.0,3,-193.86695769071278,0.0,0.002281427204534945,0.0,,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515
0.5108023252908401,6.0,0,-0.09999999999994003,0.0,-1.0625193157768833e-05,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
0.5108023252908401,6.0,1,-0.10000118118837376,0.0,-1.0625193157768833e-05,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
0.5108023252908401,6.0,2,-0.9999988132955626,0.0,-1.0625193157768833e-05,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
0.5108023252908401,6.0,3,-193.7201191347425,0.0,-1.0625193157768833e-05,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
0.5108023252908401,-3.0,0,-0.09537225731888067,0.0,0.0026883553317009127,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
0.5108023252908401,-3.0,1,-0.10656868770426092,0.0,0.0026883553317009127,0.0,,49.0173177697014,0.002636829085955954,0.4653010411585014,2.1136679037056747
