m,n,mu_formula,k1,k2
0,0,6.0,0.0,0.0
0,1,5.863703305156273,0.0,0.2617993877991494
0,2,5.464101615137755,0.0,0.5235987755982988
0,3,4.82842712474619,0.0,0.7853981633974483
0,4,4.0,0.0,1.0471975511965976
0,5,3.035276180410083,0.0,1.3089969389957472
0,6,2.0,0.0,1.5707963267948966
0,7,0.9647238195899175,0.0,1.832595714594046
0,8,8.881784197001252e-16,0.0,2.0943951023931953
0,9,-0.8284271247461898,0.0,2.356194490192345
0,10,-1.4641016151377548,0.0,2.6179938779914944
0,11,-1.8637033051562728,0.0,2.8797932657906435
0,12,-2.0,0.0,3.141592653589793
0,13,-1.8637033051562732,0.0,3.4033920413889427
0,14,-1.4641016151377553,0.0,3.665191429188092
0,15,-0.8284271247461916,0.0,3.926990816987241
0,16,-1.7763568394002505e-15,0.0,4.1887902047863905
0,17,0.9647238195899175,0.0,4.4505895925855405
0,18,1.9999999999999991,0.0,4.71238898038469
0,19,3.035276180410081,0.0,4.974188368183839
0,20,4.0,0.0,5.235987755982989
0,21,4.82842712474619,0.0,5.497787143782138
0,22,5.4641016151377535,0.0,5.759586531581287
0,23,5.863703305156273,0.0,6.021385919380436
1,0,5.863703305156273,0.2617993877991494,0.0
1,1,5.863703305156273,0.2617993877991494,0.2617993877991494
1,2,5.59575411272515,0.2617993877991494,0.5235987755982988
1,3,5.078116022520109,0.2617993877991494,0.7853981633974483
1,4,4.346065214951232,0.2617993877991494,1.0471975511965976
1,5,3.449489742783178,0.2617993877991494,1.3089969389957472
1,6,2.4494897427831783,0.2617993877991494,1.5707963267948966
1,7,1.4142135623730956,0.2617993877991494,1.832595714594046
1,8,0.4142135623730958,0.2617993877991494,2.0943951023931953
1,9,-0.48236190979495785,0.2617993877991494,2.356194490192345
1,10,-1.2144127173638357,0.2617993877991494,2.6179938779914944
1,11,-1.7320508075688767,0.2617993877991494,2.8797932657906435
1,12,-1.9999999999999998,0.2617993877991494,3.141592653589793
1,13,-2.0,0.2617993877991494,3.4033920413889427
1,14,-1.7320508075688779,0.2617993877991494,3.665191429188092
1,15,-1.2144127173638373,0.2617993877991494,3.926990816987241
1,16,-0.4823619097949601,0.2617993877991494,4.1887902047863905
1,17,0.41421356237309614,0.2617993877991494,4.4505895925855405
1,18,1.414213562373095,0.2617993877991494,4.71238898038469
1,19,2.4494897427831765,0.2617993877991494,4.974188368183839
1,20,3.449489742783179,0.2617993877991494,5.235987755982989
1,21,4.346065214951231,0.2617993877991494,5.497787143782138
1,22,5.078116022520108,0.2617993877991494,5.759586531581287
1,23,5.5957541127251496,0.2617993877991494,6.021385919380436
2,0,5.464101615137755,0.5235987755982988,0.0
2,1,5.59575411272515,0.5235987755982988,0.2617993877991494
2,2,5.464101615137755,0.5235987755982988,0.5235987755982988
2,3,5.078116022520109,0.5235987755982988,0.7853981633974483
2,4,4.464101615137755,0.5235987755982988,1.0471975511965976
2,5,3.663902460147014,0.5235987755982988,1.3089969389957472
2,6,2.7320508075688776,0.5235987755982988,1.5707963267948966
2,7,1.732050807568878,0.5235987755982988,1.832595714594046
2,8,0.732050807568878,0.5235987755982988,2.0943951023931953
2,9,-0.1998008450092592,0.5235987755982988,2.356194490192345
2,10,-1.0000000000000004,0.5235987755982988,2.6179938779914944
2,11,-1.614014407382354,0.5235987755982988,2.8797932657906435
2,12,-2.0,0.5235987755982988,3.141592653589793
2,13,-2.131652497587396,0.5235987755982988,3.4033920413889427
2,14,-2.0,0.5235987755982988,3.665191429188092
2,15,-1.6140144073823552,0.5235987755982988,3.926990816987241
2,16,-1.000000000000001,0.5235987755982988,4.1887902047863905
2,17,-0.19980084500925854,0.5235987755982988,4.4505895925855405
2,18,0.7320508075688761,0.5235987755982988,4.71238898038469
2,19,1.7320508075688752,0.5235987755982988,4.974188368183839
2,20,2.732050807568877,0.5235987755982988,5.235987755982989
2,21,3.6639024601470127,0.5235987755982988,5.497787143782138
2,22,4.4641016151377535,0.5235987755982988,5.759586531581287
2,23,5.078116022520107,0.5235987755982988,6.021385919380436
3,0,4.82842712474619,0.7853981633974483,0.0
3,1,5.078116022520109,0.7853981633974483,0.2617993877991494
3,2,5.078116022520109,0.7853981633974483,0.5235987755982988
3,3,4.82842712474619,0.7853981633974483,0.7853981633974483
3,4,4.346065214951232,0.7853981633974483,1.0471975511965976
3,5,3.663902460147014,0.7853981633974483,1.3089969389957472
3,6,2.8284271247461907,0.7853981633974483,1.5707963267948966
3,7,1.896575472168054,0.7853981633974483,1.832595714594046
3,8,0.9318516525781375,0.7853981633974483,2.0943951023931953
3,9,3.4450928483976665e-16,0.7853981633974483,2.356194490192345
3,10,-0.835475335400824,0.7853981633974483,2.6179938779914944
3,11,-1.5176380902050408,0.7853981633974483,2.8797932657906435
3,12,-1.9999999999999998,0.7853981633974483,3.141592653589793
3,13,-2.249688897773919,0.7853981633974483,3.4033920413889427
3,14,-2.249688897773919,0.7853981633974483,3.665191429188092
3,15,-2.000000000000001,0.7853981633974483,3.926990816987241
3,16,-1.5176380902050426,0.7853981633974483,4.1887902047863905
3,17,-0.8354753354008233,0.7853981633974483,4.4505895925855405
3,18,-6.661338147750939e-16,0.7853981633974483,4.71238898038469
3,19,0.9318516525781348,0.7853981633974483,4.974188368183839
3,20,1.896575472168054,0.7853981633974483,5.235987755982989
3,21,2.8284271247461894,0.7853981633974483,5.497787143782138
3,22,3.6639024601470123,0.7853981633974483,5.759586531581287
3,23,4.3460652149512295,0.7853981633974483,6.021385919380436
4,0,4.0,1.0471975511965976,0.0
4,1,4.346065214951232,1.0471975511965976,0.2617993877991494
4,2,4.464101615137755,1.0471975511965976,0.5235987755982988
4,3,4.346065214951232,1.0471975511965976,0.7853981633974483
4,4,4.0,1.0471975511965976,1.0471975511965976
4,5,3.449489742783178,1.0471975511965976,1.3089969389957472
4,6,2.7320508075688776,1.0471975511965976,1.5707963267948966
4,7,1.896575472168054,1.0471975511965976,1.832595714594046
4,8,1.0000000000000009,1.0471975511965976,2.0943951023931953
4,9,0.10342452783194678,1.0471975511965976,2.356194490192345
4,10,-0.7320508075688775,1.0471975511965976,2.6179938779914944
4,11,-1.4494897427831774,1.0471975511965976,2.8797932657906435
4,12,-2.0,1.0471975511965976,3.141592653589793
4,13,-2.3460652149512313,1.0471975511965976,3.4033920413889427
4,14,-2.4641016151377544,1.0471975511965976,3.665191429188092
4,15,-2.3460652149512318,1.0471975511965976,3.926990816987241
4,16,-2.000000000000001,1.0471975511965976,4.1887902047863905
4,17,-1.4494897427831774,1.0471975511965976,4.4505895925855405
4,18,-0.7320508075688773,1.0471975511965976,4.71238898038469
4,19,0.10342452783194545,1.0471975511965976,4.974188368183839
4,20,1.0000000000000013,1.0471975511965976,5.235987755982989
4,21,1.8965754721680537,1.0471975511965976,5.497787143782138
4,22,2.7320508075688763,1.0471975511965976,5.759586531581287
4,23,3.449489742783177,1.0471975511965976,6.021385919380436
5,0,3.035276180410083,1.3089969389957472,0.0
5,1,3.449489742783178,1.3089969389957472,0.2617993877991494
5,2,3.663902460147014,1.3089969389957472,0.5235987755982988
5,3,3.663902460147014,1.3089969389957472,0.7853981633974483
5,4,3.449489742783178,1.3089969389957472,1.0471975511965976
5,5,3.035276180410083,1.3089969389957472,1.3089969389957472
5,6,2.4494897427831783,1.3089969389957472,1.5707963267948966
5,7,1.7320508075688776,1.3089969389957472,1.832595714594046
5,8,0.9318516525781373,1.3089969389957472,2.0943951023931953
5,9,0.10342452783194678,1.3089969389957472,2.356194490192345
5,10,-0.6967746271587945,1.3089969389957472,2.6179938779914944
5,11,-1.4142135623730943,1.3089969389957472,2.8797932657906435
5,12,-1.9999999999999998,1.3089969389957472,3.141592653589793
5,13,-2.414213562373096,1.3089969389957472,3.4033920413889427
5,14,-2.628626279736931,1.3089969389957472,3.665191429188092
5,15,-2.628626279736931,1.3089969389957472,3.926990816987241
5,16,-2.414213562373096,1.3089969389957472,4.1887902047863905
5,17,-1.9999999999999998,1.3089969389957472,4.4505895925855405
5,18,-1.4142135623730958,1.3089969389957472,4.71238898038469
5,19,-0.696774627158796,1.3089969389957472,4.974188368183839
5,20,0.10342452783194633,1.3089969389957472,5.235987755982989
5,21,0.9318516525781353,1.3089969389957472,5.497787143782138
5,22,1.7320508075688752,1.3089969389957472,5.759586531581287
5,23,2.4494897427831757,1.3089969389957472,6.021385919380436
6,0,2.0,1.5707963267948966,0.0
6,1,2.4494897427831783,1.5707963267948966,0.2617993877991494
6,2,2.7320508075688776,1.5707963267948966,0.5235987755982988
6,3,2.8284271247461907,1.5707963267948966,0.7853981633974483
6,4,2.7320508075688776,1.5707963267948966,1.0471975511965976
6,5,2.4494897427831783,1.5707963267948966,1.3089969389957472
6,6,2.0000000000000004,1.5707963267948966,1.5707963267948966
6,7,1.4142135623730954,1.5707963267948966,1.832595714594046
6,8,0.732050807568878,1.5707963267948966,2.0943951023931953
6,9,4.440892098500626e-16,1.5707963267948966,2.356194490192345
6,10,-0.7320508075688774,1.5707963267948966,2.6179938779914944
6,11,-1.4142135623730943,1.5707963267948966,2.8797932657906435
6,12,-1.9999999999999996,1.5707963267948966,3.141592653589793
6,13,-2.449489742783178,1.5707963267948966,3.4033920413889427
6,14,-2.7320508075688767,1.5707963267948966,3.665191429188092
6,15,-2.82842712474619,1.5707963267948966,3.926990816987241
6,16,-2.7320508075688776,1.5707963267948966,4.1887902047863905
6,17,-2.449489742783178,1.5707963267948966,4.4505895925855405
6,18,-2.0000000000000004,1.5707963267948966,4.71238898038469
6,19,-1.4142135623730963,1.5707963267948966,4.974188368183839
6,20,-0.7320508075688767,1.5707963267948966,5.235987755982989
6,21,-4.440892098500626e-16,1.5707963267948966,5.497787143782138
6,22,0.7320508075688761,1.5707963267948966,5.759586531581287
6,23,1.4142135623730934,1.5707963267948966,6.021385919380436
7,0,0.9647238195899175,1.832595714594046,0.0
7,1,1.4142135623730956,1.832595714594046,0.2617993877991494
7,2,1.732050807568878,1.832595714594046,0.5235987755982988
7,3,1.896575472168054,1.832595714594046,0.7853981633974483
7,4,1.896575472168054,1.832595714594046,1.0471975511965976
7,5,1.7320508075688776,1.832595714594046,1.3089969389957472
7,6,1.4142135623730954,1.832595714594046,1.5707963267948966
7,7,0.9647238195899175,1.832595714594046,1.832595714594046
7,8,0.4142135623730958,1.832595714594046,2.0943951023931953
7,9,-0.199800845009259,1.832595714594046,2.356194490192345
7,10,-0.835475335400824,1.832595714594046,2.6179938779914944
7,11,-1.4494897427831777,1.832595714594046,2.8797932657906435
7,12,-2.0,1.832595714594046,3.141592653589793
7,13,-2.4494897427831783,1.832595714594046,3.4033920413889427
7,14,-2.7673269879789606,1.832595714594046,3.665191429188092
7,15,-2.931851652578136,1.832595714594046,3.926990816987241
7,16,-2.9318516525781373,1.832595714594046,4.1887902047863905
7,17,-2.7673269879789606,1.832595714594046,4.4505895925855405
7,18,-2.4494897427831783,1.832595714594046,4.71238898038469
7,19,-2.000000000000001,1.832595714594046,4.974188368183839
7,20,-1.4494897427831774,1.832595714594046,5.235987755982989
7,21,-0.8354753354008237,1.832595714594046,5.497787143782138
7,22,-0.19980084500925988,1.832595714594046,5.759586531581287
7,23,0.41421356237309404,1.832595714594046,6.021385919380436
8,0,8.881784197001252e-16,2.0943951023931953,0.0
8,1,0.4142135623730958,2.0943951023931953,0.2617993877991494
8,2,0.732050807568878,2.0943951023931953,0.5235987755982988
8,3,0.9318516525781375,2.0943951023931953,0.7853981633974483
8,4,1.0000000000000009,2.0943951023931953,1.0471975511965976
8,5,0.9318516525781373,2.0943951023931953,1.3089969389957472
8,6,0.732050807568878,2.0943951023931953,1.5707963267948966
8,7,0.4142135623730958,2.0943951023931953,1.832595714594046
8,8,8.881784197001252e-16,2.0943951023931953,2.0943951023931953
8,9,-0.4823619097949581,2.0943951023931953,2.356194490192345
8,10,-0.9999999999999998,2.0943951023931953,2.6179938779914944
8,11,-1.5176380902050408,2.0943951023931953,2.8797932657906435
8,12,-1.9999999999999998,2.0943951023931953,3.141592653589793
8,13,-2.4142135623730954,2.0943951023931953,3.4033920413889427
8,14,-2.732050807568877,2.0943951023931953,3.665191429188092
8,15,-2.9318516525781364,2.0943951023931953,3.926990816987241
8,16,-3.0,2.0943951023931953,4.1887902047863905
8,17,-2.9318516525781364,2.0943951023931953,4.4505895925855405
8,18,-2.732050807568877,2.0943951023931953,4.71238898038469
8,19,-2.4142135623730954,2.0943951023931953,4.974188368183839
8,20,-1.9999999999999993,2.0943951023931953,5.235987755982989
8,21,-1.5176380902050415,2.0943951023931953,5.497787143782138
8,22,-1.0000000000000004,2.0943951023931953,5.759586531581287
8,23,-0.4823619097949592,2.0943951023931953,6.021385919380436
9,0,-0.8284271247461898,2.356194490192345,0.0
9,1,-0.48236190979495785,2.356194490192345,0.2617993877991494
9,2,-0.1998008450092592,2.356194490192345,0.5235987755982988
9,3,3.4450928483976665e-16,2.356194490192345,0.7853981633974483
9,4,0.10342452783194678,2.356194490192345,1.0471975511965976
9,5,0.10342452783194678,2.356194490192345,1.3089969389957472
9,6,4.440892098500626e-16,2.356194490192345,1.5707963267948966
9,7,-0.199800845009259,2.356194490192345,1.832595714594046
9,8,-0.4823619097949581,2.356194490192345,2.0943951023931953
9,9,-0.8284271247461898,2.356194490192345,2.356194490192345
9,10,-1.2144127173638362,2.356194490192345,2.6179938779914944
9,11,-1.614014407382354,2.356194490192345,2.8797932657906435
9,12,-1.9999999999999998,2.356194490192345,3.141592653589793
