m,n,mu,k1,k2,lambda_max
2,2,5.464101615137755,0.5235987755982988,0.5235987755982988,-0.09771080625483643
2,3,5.078116022520109,0.5235987755982988,0.7853981633974483,-0.09589312240638669
2,4,4.464101615137755,0.5235987755982988,1.0471975511965976,-0.09264473860509442
2,5,3.663902460147014,0.5235987755982988,1.3089969389957472,-0.08756412840753537
2,6,2.7320508075688776,0.5235987755982988,1.5707963267948966,-0.07993186078801634
2,7,1.732050807568878,0.5235987755982988,1.832595714594046,-0.06856333629716473
2,8,0.732050807568878,0.5235987755982988,2.0943951023931953,-0.05182735313514798
2,9,-0.1998008450092592,0.5235987755982988,2.356194490192345,-0.02853338760506273
2,10,-1.0000000000000004,0.5235987755982988,2.6179938779914944,-0.0003220774511201843
2,11,-1.614014407382354,0.5235987755982988,2.8797932657906435,0.027007582498271655
2,12,-2.0,0.5235987755982988,3.141592653589793,0.04649254285826247
2,13,-2.131652497587396,0.5235987755982988,3.4033920413889427,0.05349028499529471
2,14,-2.0,0.5235987755982988,3.665191429188092,0.04649254285826247
2,15,-1.6140144073823552,0.5235987755982988,3.926990816987241,0.02700758249827173
2,16,-1.000000000000001,0.5235987755982988,4.1887902047863905,-0.00032207745112016443
2,17,-0.19980084500925854,0.5235987755982988,4.4505895925855405,-0.028533387605062802
2,18,0.7320508075688761,0.5235987755982988,4.71238898038469,-0.05182735313514804
2,19,1.7320508075688752,0.5235987755982988,4.974188368183839,-0.06856333629716478
2,20,2.732050807568877,0.5235987755982988,5.235987755982989,-0.07993186078801631
2,21,3.6639024601470127,0.5235987755982988,5.497787143782138,-0.08756412840753539
2,22,4.4641016151377535,0.5235987755982988,5.759586531581287,-0.09264473860509442
2,23,5.078116022520107,0.5235987755982988,6.021385919380436,-0.09589312240638669
3,0,4.82842712474619,0.7853981633974483,0.0,-0.09462964410964969
3,1,5.078116022520109,0.7853981633974483,0.2617993877991494,-0.09589312240638669
3,2,5.078116022520109,0.7853981633974483,0.5235987755982988,-0.09589312240638669
3,3,4.82842712474619,0.7853981633974483,0.7853981633974483,-0.09462964410964969
3,4,4.346065214951232,0.7853981633974483,1.0471975511965976,-0.09196187179007466
3,5,3.663902460147014,0.7853981633974483,1.3089969389957472,-0.08756412840753537
3,6,2.8284271247461907,0.7853981633974483,1.5707963267948966,-0.08083052394172922
3,7,1.896575472168054,0.7853981633974483,1.832595714594046,-0.07073255728128147
3,8,0.9318516525781375,0.7853981633974483,2.0943951023931953,-0.05574146853203922
3,9,3.4450928483976665e-16,0.7853981633974483,2.356194490192345,-0.03431629436083003
3,10,-0.835475335400824,0.7853981633974483,2.6179938779914944,-0.006810268857101523
3,11,-1.5176380902050408,0.7853981633974483,2.8797932657906435,0.022405170449990835
3,12,-1.9999999999999998,0.7853981633974483,3.141592653589793,0.04649254285826247
3,13,-2.249688897773919,0.7853981633974483,3.4033920413889427,0.059900167527295045
3,14,-2.249688897773919,0.7853981633974483,3.665191429188092,0.059900167527295045
3,15,-2.000000000000001,0.7853981633974483,3.926990816987241,0.046492542858262514
3,16,-1.5176380902050426,0.7853981633974483,4.1887902047863905,0.022405170449991116
3,17,-0.8354753354008233,0.7853981633974483,4.4505895925855405,-0.006810268857101555
3,18,-6.661338147750939e-16,0.7853981633974483,4.71238898038469,-0.03431629436083004
3,19,0.9318516525781348,0.7853981633974483,4.974188368183839,-0.05574146853203926
3,20,1.896575472168054,0.7853981633974483,5.235987755982989,-0.07073255728128147
3,21,2.8284271247461894,0.7853981633974483,5.497787143782138,-0.08083052394172922
3,22,3.6639024601470123,0.7853981633974483,5.759586531581287,-0.08756412840753551
3,23,4.3460652149512295,0.7853981633974483,6.021385919380436,-0.09196187179007446
4,0,4.0,1.0471975511965976,0.0,-0.08983362114796277
4,1,4.346065214951232,1.0471975511965976,0.2617993877991494,-0.09196187179007466
4,2,4.464101615137755,1.0471975511965976,0.5235987755982988,-0.09264473860509442
4,3,4.346065214951232,1.0471975511965976,0.7853981633974483,-0.09196187179007466
4,4,4.0,1.0471975511965976,1.0471975511965976,-0.08983362114796277
4,5,3.449489742783178,1.0471975511965976,1.3089969389957472,-0.08599723698135077
4,6,2.7320508075688776,1.0471975511965976,1.5707963267948966,-0.07993186078801634
4,7,1.896575472168054,1.0471975511965976,1.832595714594046,-0.07073255728128147
4,8,1.0000000000000009,1.0471975511965976,2.0943951023931953,-0.05700355273905391
4,9,0.10342452783194678,1.0471975511965976,2.356194490192345,-0.0371281162199242
4,10,-0.7320508075688775,1.0471975511965976,2.6179938779914944,-0.010704144277768966
4,11,-1.4494897427831774,1.0471975511965976,2.8797932657906435,0.01921849070677993
4,12,-2.0,1.0471975511965976,3.141592653589793,0.04649254285826247
4,13,-2.3460652149512313,1.0471975511965976,3.4033920413889427,0.06522261999292048
4,14,-2.4641016151377544,1.0471975511965976,3.665191429188092,0.07184240011453474
4,15,-2.3460652149512318,1.0471975511965976,3.926990816987241,0.06522261999292045
4,16,-2.000000000000001,1.0471975511965976,4.1887902047863905,0.046492542858262514
4,17,-1.4494897427831774,1.0471975511965976,4.4505895925855405,0.01921849070677993
4,18,-0.7320508075688773,1.0471975511965976,4.71238898038469,-0.010704144277769022
4,19,0.10342452783194545,1.0471975511965976,4.974188368183839,-0.037128116219924207
4,20,1.0000000000000013,1.0471975511965976,5.235987755982989,-0.0570035527390541
4,21,1.8965754721680537,1.0471975511965976,5.497787143782138,-0.07073255728128129
4,22,2.7320508075688763,1.0471975511965976,5.759586531581287,-0.0799318607880163
4,23,3.449489742783177,1.0471975511965976,6.021385919380436,-0.085997236981351
5,0,3.035276180410083,1.3089969389957472,0.0,-0.08266560727200993
5,1,3.449489742783178,1.3089969389957472,0.2617993877991494,-0.08599723698135077
5,2,3.663902460147014,1.3089969389957472,0.5235987755982988,-0.08756412840753537
5,3,3.663902460147014,1.3089969389957472,0.7853981633974483,-0.08756412840753537
5,4,3.449489742783178,1.3089969389957472,1.0471975511965976,-0.08599723698135077
5,5,3.035276180410083,1.3089969389957472,1.3089969389957472,-0.08266560727200993
5,6,2.4494897427831783,1.3089969389957472,1.5707963267948966,-0.0771211312925546
5,7,1.7320508075688776,1.3089969389957472,1.832595714594046,-0.06856333629716475
5,8,0.9318516525781373,1.3089969389957472,2.0943951023931953,-0.05574146853203919
5,9,0.10342452783194678,1.3089969389957472,2.356194490192345,-0.0371281162199242
5,10,-0.6967746271587945,1.3089969389957472,2.6179938779914944,-0.011999736876900969
5,11,-1.4142135623730943,1.3089969389957472,2.8797932657906435,0.017591416465123588
5,12,-1.9999999999999998,1.3089969389957472,3.141592653589793,0.04649254285826247
5,13,-2.414213562373096,1.3089969389957472,3.4033920413889427,0.06903147136964591
5,14,-2.628626279736931,1.3089969389957472,3.665191429188092,0.08123934093859154
5,15,-2.628626279736931,1.3089969389957472,3.926990816987241,0.08123934093859154
5,16,-2.414213562373096,1.3089969389957472,4.1887902047863905,0.06903147136964591
5,17,-1.9999999999999998,1.3089969389957472,4.4505895925855405,0.04649254285826247
5,18,-1.4142135623730958,1.3089969389957472,4.71238898038469,0.017591416465123483
5,19,-0.696774627158796,1.3089969389957472,4.974188368183839,-0.011999736876900879
5,20,0.10342452783194633,1.3089969389957472,5.235987755982989,-0.037128116219924207
5,21,0.9318516525781353,1.3089969389957472,5.497787143782138,-0.055741468532039234
5,22,1.7320508075688752,1.3089969389957472,5.759586531581287,-0.06856333629716478
5,23,2.4494897427831757,1.3089969389957472,6.021385919380436,-0.07712113129255471
6,0,2.0,1.5707963267948966,0.0,-0.07202842535453717
6,1,2.4494897427831783,1.5707963267948966,0.2617993877991494,-0.0771211312925546
6,2,2.7320508075688776,1.5707963267948966,0.5235987755982988,-0.07993186078801634
6,3,2.8284271247461907,1.5707963267948966,0.7853981633974483,-0.08083052394172922
6,4,2.7320508075688776,1.5707963267948966,1.0471975511965976,-0.07993186078801634
6,5,2.4494897427831783,1.5707963267948966,1.3089969389957472,-0.0771211312925546
6,6,2.0000000000000004,1.5707963267948966,1.5707963267948966,-0.07202842535453717
6,7,1.4142135623730954,1.5707963267948966,1.832595714594046,-0.06395847373116728
6,8,0.732050807568878,1.5707963267948966,2.0943951023931953,-0.05182735313514798
6,9,4.440892098500626e-16,1.5707963267948966,2.356194490192345,-0.034316294360829995
6,10,-0.7320508075688774,1.5707963267948966,2.6179938779914944,-0.010704144277768966
6,11,-1.4142135623730943,1.5707963267948966,2.8797932657906435,0.017591416465123588
6,12,-1.9999999999999996,1.5707963267948966,3.141592653589793,0.046492542858262445
6,13,-2.449489742783178,1.5707963267948966,3.4033920413889427,0.0710171628571996
6,14,-2.7320508075688767,1.5707963267948966,3.665191429188092,0.08723847363204033
6,15,-2.82842712474619,1.5707963267948966,3.926990816987241,0.09288674986665646
6,16,-2.7320508075688776,1.5707963267948966,4.1887902047863905,0.08723847363204044
6,17,-2.449489742783178,1.5707963267948966,4.4505895925855405,0.0710171628571996
6,18,-2.0000000000000004,1.5707963267948966,4.71238898038469,0.0464925428582625
6,19,-1.4142135623730963,1.5707963267948966,4.974188368183839,0.017591416465123726
6,20,-0.7320508075688767,1.5707963267948966,5.235987755982989,-0.010704144277769004
6,21,-4.440892098500626e-16,1.5707963267948966,5.497787143782138,-0.034316294360830016
6,22,0.7320508075688761,1.5707963267948966,5.759586531581287,-0.05182735313514804
6,23,1.4142135623730934,1.5707963267948966,6.021385919380436,-0.06395847373116725
7,0,0.9647238195899175,1.832595714594046,0.0,-0.0563547141245735
7,1,1.4142135623730956,1.832595714594046,0.2617993877991494,-0.06395847373116717
7,2,1.732050807568878,1.832595714594046,0.5235987755982988,-0.06856333629716473
7,3,1.896575472168054,1.832595714594046,0.7853981633974483,-0.07073255728128147
7,4,1.896575472168054,1.832595714594046,1.0471975511965976,-0.07073255728128147
7,5,1.7320508075688776,1.832595714594046,1.3089969389957472,-0.06856333629716475
7,6,1.4142135623730954,1.832595714594046,1.5707963267948966,-0.06395847373116728
7,7,0.9647238195899175,1.832595714594046,1.832595714594046,-0.0563547141245735
7,8,0.4142135623730958,1.832595714594046,2.0943951023931953,-0.04488155214174846
7,9,-0.199800845009259,1.832595714594046,2.356194490192345,-0.028533387605062743
7,10,-0.835475335400824,1.832595714594046,2.6179938779914944,-0.006810268857101523
7,11,-1.4494897427831777,1.832595714594046,2.8797932657906435,0.01921849070678007
7,12,-2.0,1.832595714594046,3.141592653589793,0.04649254285826247
7,13,-2.4494897427831783,1.832595714594046,3.4033920413889427,0.07101716285719993
7,14,-2.7673269879789606,1.832595714594046,3.665191429188092,0.08929964309594025
7,15,-2.931851652578136,1.832595714594046,3.926990816987241,0.09900523794818426
7,16,-2.9318516525781373,1.832595714594046,4.1887902047863905,0.09900523794818428
7,17,-2.7673269879789606,1.832595714594046,4.4505895925855405,0.08929964309594025
7,18,-2.4494897427831783,1.832595714594046,4.71238898038469,0.07101716285719993
7,19,-2.000000000000001,1.832595714594046,4.974188368183839,0.046492542858262514
7,20,-1.4494897427831774,1.832595714594046,5.235987755982989,0.01921849070677993
7,21,-0.8354753354008237,1.832595714594046,5.497787143782138,-0.006810268857101474
7,22,-0.19980084500925988,1.832595714594046,5.759586531581287,-0.02853338760506278
7,23,0.41421356237309404,1.832595714594046,6.021385919380436,-0.04488155214174854
8,0,8.881784197001252e-16,2.0943951023931953,0.0,-0.03431629436083003
8,1,0.4142135623730958,2.0943951023931953,0.2617993877991494,-0.04488155214174846
8,2,0.732050807568878,2.0943951023931953,0.5235987755982988,-0.05182735313514798
8,3,0.9318516525781375,2.0943951023931953,0.7853981633974483,-0.05574146853203922
8,4,1.0000000000000009,2.0943951023931953,1.0471975511965976,-0.05700355273905391
8,5,0.9318516525781373,2.0943951023931953,1.3089969389957472,-0.05574146853203919
8,6,0.732050807568878,2.0943951023931953,1.5707963267948966,-0.05182735313514798
8,7,0.4142135623730958,2.0943951023931953,1.832595714594046,-0.04488155214174846
8,8,8.881784197001252e-16,2.0943951023931953,2.0943951023931953,-0.03431629436083003
8,9,-0.4823619097949581,2.0943951023931953,2.356194490192345,-0.0195219016408594
8,10,-0.9999999999999998,2.0943951023931953,2.6179938779914944,-0.0003220774511202837
8,11,-1.5176380902050408,2.0943951023931953,2.8797932657906435,0.022405170449990835
8,12,-1.9999999999999998,2.0943951023931953,3.141592653589793,0.04649254285826247
8,13,-2.4142135623730954,2.0943951023931953,3.4033920413889427,0.06903147136964619
8,14,-2.732050807568877,2.0943951023931953,3.665191429188092,0.08723847363204043
8,15,-2.9318516525781364,2.0943951023931953,3.926990816987241,0.09900523794818418
8,16,-3.0,2.0943951023931953,4.1887902047863905,0.10306671935147543
8,17,-2.9318516525781364,2.0943951023931953,4.4505895925855405,0.09900523794818418
8,18,-2.732050807568877,2.0943951023931953,4.71238898038469,0.08723847363204043
8,19,-2.4142135623730954,2.0943951023931953,4.974188368183839,0.06903147136964619
8,20,-1.9999999999999993,2.0943951023931953,5.235987755982989,0.046492542858262445
8,21,-1.5176380902050415,2.0943951023931953,5.497787143782138,0.022405170449991123
8,22,-1.0000000000000004,2.0943951023931953,5.759586531581287,-0.0003220774511201843
8,23,-0.4823619097949592,2.0943951023931953,6.021385919380436,-0.01952190164085937
9,0,-0.8284271247461898,2.356194490192345,0.0,-0.00708015601201609
9,1,-0.48236190979495785,2.356194490192345,0.2617993877991494,-0.019521901640859384
9,2,-0.1998008450092592,2.356194490192345,0.5235987755982988,-0.02853338760506273
9,3,3.4450928483976665e-16,2.356194490192345,0.7853981633974483,-0.03431629436083003
9,4,0.10342452783194678,2.356194490192345,1.0471975511965976,-0.0371281162199242
9,5,0.10342452783194678,2.356194490192345,1.3089969389957472,-0.0371281162199242
9,6,4.440892098500626e-16,2.356194490192345,1.5707963267948966,-0.034316294360829995
9,7,-0.199800845009259,2.356194490192345,1.832595714594046,-0.028533387605062743
9,8,-0.4823619097949581,2.356194490192345,2.0943951023931953,-0.0195219016408594
9,9,-0.8284271247461898,2.356194490192345,2.356194490192345,-0.00708015601201609
9,10,-1.2144127173638362,2.356194490192345,2.6179938779914944,0.00867246734135251
9,11,-1.614014407382354,2.356194490192345,2.8797932657906435,0.027007582498271655
9,12,-1.9999999999999998,2.356194490192345,3.141592653589793,0.04649254285826247
9,13,-2.3460652149512313,2.356194490192345,3.4033920413889427,0.06522261999292048
9,14,-2.6286262797369306,2.356194490192345,3.665191429188092,0.08123934093859157
9,15,-2.82842712474619,2.356194490192345,3.926990816987241,0.09288674986665646
9,16,-2.9318516525781364,2.356194490192345,4.1887902047863905,0.09900523794818418
9,17,-2.9318516525781364,2.356194490192345,4.4505895925855405,0.09900523794818418
9,18,-2.8284271247461903,2.356194490192345,4.71238898038469,0.09288674986665646
9,19,-2.628626279736931,2.356194490192345,4.974188368183839,0.08123934093859154
9,20,-2.3460652149512313,2.356194490192345,5.235987755982989,0.06522261999292048
9,21,-2.0,2.356194490192345,5.497787143782138,0.04649254285826247
9,22,-1.614014407382355,2.356194490192345,5.759586531581287,0.02700758249827192
9,23,-1.2144127173638368,2.356194490192345,6.021385919380436,0.008672467341352493
10,0,-1.4641016151377548,2.6179938779914944,0.0,0.01989695919537538
10,1,-1.2144127173638357,2.6179938779914944,0.2617993877991494,0.00867246734135234
10,2,-1.0000000000000004,2.6179938779914944,0.5235987755982988,-0.0003220774511201843
10,3,-0.835475335400824,2.6179938779914944,0.7853981633974483,-0.006810268857101523
