time,mean_D,std_D,cv_D,relative_contrast_D,q_amp,moran_D
0.0,0.06935746113696165,2.8743069957027824e-07,4.144192922556418e-06,8.79116075445491e-06,8.58716748968335e-12,-0.4999999999999998
0.5,0.06935746114688787,4.718937215937105e-07,6.803791744832124e-06,1.4433021841755588e-05,2.3145791053522885e-11,-0.5000000000000001
1.0,0.06935746116348203,7.781796580722871e-07,1.1219840591310643e-05,2.3800876097943557e-05,6.294241144721098e-11,-0.5
1.5,0.06935746121159088,1.3903844561270776e-06,2.004664576584472e-05,4.252535748342026e-05,2.0093400323063002e-10,-0.5
2.0,0.06935746129097645,2.2147470643494902e-06,3.1932354834297163e-05,6.773875392775968e-05,5.098376426317307e-10,-0.5
2.5,0.06935746138683357,3.131190924526679e-06,4.514569682795637e-05,9.576848510481966e-05,1.0190669710408749e-09,-0.5
3.0,0.0693574614857275,4.074572389499115e-06,5.8747426768749136e-05,0.00012462211153652794,1.7256300759747713e-09,-0.5
3.5,0.06935746157933906,5.016739784426e-06,7.23316521422468e-05,0.00015343860517282764,2.615933950813498e-09,-0.49999999999999994
4.0,0.06935746166806334,5.948002197848795e-06,8.575864881438762e-05,0.0001819215663664476,3.6772729232347322e-09,-0.49999999999999983
4.5,0.06935746174050604,6.867251222315914e-06,9.901243572045706e-05,0.00021003709415929705,4.901731213648822e-09,-0.5000000000000001
5.0,0.06935746182146328,7.776989882546035e-06,0.00011212910158917288,0.0002378617443058781,6.286467711597523e-09,-0.49999999999999983
5.5,0.0693574619106126,8.681203987208991e-06,0.00012516611404259957,0.00026551742404317286,7.833278052262522e-09,-0.5000000000000001
6.0,0.0693574619791393,9.584371310500306e-06,0.00013818803394770998,0.0002931410876497876,9.547966363166722e-09,-0.49999999999999994
6.5,0.06935746207367655,1.0491057165890623e-05,0.00015126068417477932,0.0003208723665208095,1.143989728851117e-08,-0.5000000000000001
7.0,0.06935746219741817,1.140574490974154e-05,0.00016444870599902252,0.0003488483855077851,1.3521688452376473e-08,-0.5
7.5,0.0693574626645932,1.2332658562017116e-05,0.00017781300076758584,0.0003771983358773649,1.5808731620986737e-08,-0.49999999999999994
8.0,0.06935746235786842,1.3276518323522494e-05,0.00019142162749580916,0.00040606659260435584,1.8321119736572162e-08,-0.5
8.5,0.069357462309273,1.4240982738668165e-05,0.0002053273326980443,0.0004355650479411997,2.1079656776446684e-08,-0.5
9.0,0.06935746276362971,1.522993335323462e-05,0.00021958607980136535,0.0004658124182449474,2.4109023221265796e-08,-0.5
9.5,0.06935746266849246,1.624766007724121e-05,0.00023425972421886414,0.0004969399186625481,2.7438809195549133e-08,-0.4999999999999999
10.0,0.0693574635659169,1.729786321555394e-05,0.0002494016119709187,0.0005290607131901777,3.110058202684634e-08,-0.49999999999999983
10.5,0.06935746348363894,1.838445974935701e-05,0.0002650682251909891,0.0005622946185286935,3.5130582002950445e-08,-0.49999999999999994
11.0,0.06935746414570472,1.9511226403488378e-05,0.00028131401059444157,0.0005967571336025417,3.956878627836479e-08,-0.5
11.5,0.06935746372866688,2.0682037117131135e-05,0.00029819483016335874,0.0006325667595693452,4.446007836807718e-08,-0.5
12.0,0.06935746427061172,2.1900741432612873e-05,0.00031576617834762306,0.0006698412179365949,4.985413969413145e-08,-0.5
12.5,0.06935746443409634,2.3171274587237014e-05,0.0003340847993261695,0.0007087008812845441,5.5806326570403456e-08,-0.4999999999999999
13.0,0.0693574645678318,2.4497625842359052e-05,0.00035320820902269725,0.0007492677593120141,6.23780194605107e-08,-0.5
13.5,0.06935746607928975,2.588387726565812e-05,0.00037319525537550004,0.0007916666873477842,6.963734931739235e-08,-0.5
14.0,0.0693574660447305,2.7334188408405166e-05,0.00039410592640129916,0.000836024919192395,7.765974061231312e-08,-0.5
14.5,0.0693574679206426,2.885286136362107e-05,0.00041600223059806517,0.0008824739947336652,8.652892793128286e-08,-0.4999999999999998
15.0,0.06935746516255219,3.044434568017819e-05,0.00043894836134547555,0.0009311500886941262,9.633783196393907e-08,-0.4999999999999999
15.5,0.06935746749421187,3.211318051751616e-05,0.00046300970432918586,0.0009821919050586369,1.0718899315150003e-07,-0.4999999999999999
16.0,0.06935746501602025,3.386412684237316e-05,0.0004882549677176234,0.001035745195863451,1.1919645675046872e-07,-0.49999999999999994
16.5,0.06935747249068532,3.570216911795681e-05,0.0005147559136148106,0.0010919621915188278,1.324868253007092e-07,-0.5
17.0,0.06935747038210432,3.763233999825717e-05,0.0005425852441118887,0.0011509971164502244,1.4719937356397894e-07,-0.5
17.5,0.06935747267732245,3.966004348787838e-05,0.000571820770811418,0.0012130150339918165,1.6348949696568206e-07,-0.4999999999999999
18.0,0.06935747175929954,4.179084788194482e-05,0.0006025428381671287,0.0012781863804699955,1.815289359132493e-07,-0.5
