sample_id,lambda_pattern,G_exact_minus3,G_eff,unstable
0,-0.0367574223740655,1.3885413647838137e-05,0.0001899586411587046,False
1,-0.0144516677462365,3.733968960154431e-08,5.6837261585640964e-08,False
2,-0.2328733591451914,0.004717380637555265,0.007367388669904166,False
3,0.1211456278742695,5.965946574493464,11.906904883819829,True
4,-0.1115335710190151,0.001982200822997532,0.053153463591151376,False
5,1.2136387944084073,3.90558053517998,10.271623298849498,True
6,0.0861914975596341,2.3138631154237954,2.339238573866748,True
7,0.1781956153315242,11.81759202579499,11.87925416529357,True
9,-0.0143722402432891,5.561327295599161e-06,7.29640727614843e-06,False
10,0.2725663638490229,4.680590922622504,6.7618710823089785,True
11,0.1495510098872439,2.580441792989464,4.437385866169438,True
12,-0.0403450120113405,3.697162227719293e-10,8.082833133404819e-10,False
13,0.787385307164062,7.837218291499888,4.269319544408242,True
15,-0.1984562470743551,3.253019552085054e-05,4.3850453502983866e-05,False
17,-0.1629844041732965,0.1137366933255212,1.0493111537877564,False
18,0.2228714561349276,3.8149560112292042,5.270656287432411,True
20,-0.2528176734203898,0.03192323072442962,0.30202992018795494,False
21,-0.0129261605958289,0.000476562909327556,0.0003221132281947295,False
22,-0.1513944112136104,8.370097138151258e-09,2.8327055557840084e-09,False
23,-0.0160804105055611,5.019304544891524e-05,8.293983251910964e-05,False
24,0.0052007381218733,1.346808871790582,3.3181280580509167,True
26,-0.0355515087623767,0.0001801220524433332,0.03377190083644274,False
27,-0.0386841725499485,0.008877436643664333,0.20332623094229202,False
28,-0.0305863052265994,1.171671203602317e-07,2.0704281188819085e-06,False
29,-0.4066458958171788,1.291840680599732e-06,2.8995943456823394e-05,False
30,-0.140999077571239,6.02391210757084e-12,5.006293938096792e-12,False
31,-0.0667788195611844,0.21177142413335565,0.25452548036871575,False
32,-0.14310547985825,0.0002997663858016962,0.00027573140869912454,False
33,0.2242906480884831,1.8927384120972477,1.8997417933158187,True
34,-0.133630673633507,0.12736289469769585,0.1671583330803686,False
35,-0.2015890780423001,0.008361290176776157,0.37911509446783254,False
38,-0.0972152109812874,0.24997178468889955,0.8297795909740829,False
39,0.0961920916350667,2.9549860507302355,2.9760166763668705,True
40,0.2555536311073501,2.455936305284259,2.652338720353391,True
41,0.0614638137405784,3.4344638290074476,3.5908672793591325,True
42,0.1264533696966987,7.821264659363523,8.565606549139428,True
44,-0.0596797716594316,0.007837220521513581,0.7753784959981666,False
45,0.2947050575170463,1.7106208811330732,4.8774275382924595,True
46,-0.0937763275229857,9.139625051371525e-06,0.0010353479945246322,False
47,0.2604599619021394,6.7394437496262976,7.330954022019514,True
49,0.1687349381415183,2.124999365882488,2.667533556851898,True
50,0.0742828813607513,1.2895153902998615,1.5479732057746949,True
51,-0.2325811454252748,0.0010966419610897594,0.0006640248556829586,False
53,0.1734272440362965,6.6192755356139426,7.356288236065898,True
54,0.4369349794743736,6.9061271447771535,8.349522065553765,True
55,-0.0102860380975047,0.00011346101877095139,0.00044613199715881456,False
56,-0.0144338423106371,0.0001800222391454187,5.877556623532731e-05,False
57,-0.0941364587493044,4.433588368443247e-06,4.96467705497346e-06,False
58,-0.0178190150000876,1.3599286292521114e-07,2.9826315376610736e-06,False
60,-0.011596219735136,0.09954054768051718,0.31912384883879263,False
61,0.0813595300368883,1.5053620106028587,1.5229455695030631,True
62,0.2434701376931956,2.5701553056533366,3.2731562030803243,True
63,-0.0607077078211791,0.007719686482269912,1.2598167238691844,False
64,-0.0206810727108642,0.08803706556778684,0.08925354627406468,False
65,-0.0113957633870016,0.0005270245010499897,0.01234640514389772,False
66,0.0486879743534123,5.530986962391697,8.100765125241088,True
67,-0.0259588710747855,0.000254829793038337,0.0004271740055936442,False
69,-0.0633011398850316,7.351053608865672e-08,1.150123792428285e-06,False
70,-0.0635537925641447,4.974626664803237e-07,2.4777465262188615e-06,False
71,0.332511135392827,3.8302539147707653,4.491467498387915,True
73,0.059033973579973,5.855348806709253,7.315763842514375,True
74,-0.0131542781059469,0.8003606941052082,3.200965074532933,False
75,-0.603468522665934,0.01688683378838836,0.17179583460394848,False
76,-0.0123877477064722,1.135254230704989e-06,1.2866196771215562e-06,False
77,-0.1535177583339097,2.2997075889981197e-12,2.0304108173441293e-12,False
79,-0.0763898477313236,0.00034998795629546275,0.0013154795314472964,False
80,-0.1026329380541822,8.516262117248798e-11,6.443687054421219e-10,False
81,-0.0595510000589699,0.004020767643752581,0.38442073592537174,False
82,-0.0475278933275386,3.9588245424846605e-05,0.0013633199875167888,False
83,0.08175145239233,3.1317036183178675,3.946657915692961,True
84,0.3073211351417284,6.249265456776815,8.143903465905725,True
85,-0.0239855719478921,0.00010026046568953074,0.011950230454180122,False
86,-0.1193621130949628,2.9185169264008787e-05,7.096472003371869e-05,False
87,-0.0156981053459109,0.5956713713909739,1.8228184589102376,False
88,0.0960407534028667,3.6374889092870886,5.504334781921861,True
89,-0.0267603616818021,8.613806995908766e-08,1.4641963417648319e-07,False
90,-0.0202500130922855,7.710048945622963e-06,7.4593803740593315e-06,False
91,-0.0165953430623319,4.2138054091544005e-11,2.3463508502186967e-11,False
92,0.2807560739013052,6.378587245871974,8.762777436339483,True
93,-0.0114959601593741,0.034499375271828024,0.7217006854617775,False
94,-0.0800203715602349,2.480255979990909e-09,3.1392036846282186e-09,False
95,-0.0728804015304872,3.334166414030621e-09,1.854509994637496e-08,False
97,0.0904045521024723,2.0327406321556305,6.764448298851249,True
98,0.2577890917874407,7.474181033685506,7.617498258826737,True
99,-0.0286446081242715,2.485258260796551e-14,3.064066947427143e-13,False
100,-0.1075792942471848,0.005463363582949557,0.055236573492534115,False
101,-0.1101180989636398,0.13211593107226016,0.6370688065237489,False
102,-0.0496689832888848,1.73891866197738e-11,2.3438640374127e-09,False
103,0.129430828867897,11.886301164611433,13.126641027507551,True
104,-0.046212166922882,8.439865348336493e-27,8.44540104513425e-27,False
105,-0.0147657446492306,0.0971360919539252,1.1456059143667552,False
106,0.0155185238633602,1.4012515183634766,3.8972448870210887,True
107,-0.0010470291732035,0.9849554947931637,3.614532598430442,False
108,-0.0254866460891838,1.5579975660369135e-06,9.449776334678972e-07,False
110,-0.0284241427026779,0.0018432259050743128,0.0034780657536057757,False
112,-0.1750714041088429,0.00037512296074670916,0.0020511973833805095,False
114,-0.0181891002879843,1.0070504306414397e-08,3.6808122614972233e-09,False
115,-0.0112859384602553,0.00028453450831513713,0.0006190279935265533,False
116,-0.0495875430458981,4.125912356473004e-06,0.00046139272137401193,False
117,-0.0329040360591158,0.5513104108780904,1.440151842537247,False
118,0.0145616824512878,1.2329549514212212,4.631189203053015,True
119,-0.0441679778317828,0.032830546823140114,0.06638974986154474,False
121,-0.0145300343164937,0.0008475575630094437,0.06986527565618407,False
122,1.6087277525333143,11.175751982708165,11.320169860541036,True
123,-0.2129679328744084,6.838928399540932e-09,1.6235419834992e-08,False
126,-0.0232699669951483,3.277849965610918e-10,4.5935390884287495e-10,False
127,-0.072810127262403,0.03485256697227875,0.027213145693789676,False
128,-0.2164894868008774,2.9416352368766453e-05,0.00019353948763507116,False
129,0.0390383179314236,1.49377506489286,2.0470230078148575,True
130,-0.0270998980282094,1.3218258800144165e-05,1.0527385776283776e-05,False
131,0.1557811428832151,8.70685249136578,8.93658727119652,True
132,0.0103244260945165,1.2072163218061458,2.9699809409578486,True
133,0.0032176791663349,1.092362365199055,5.302447222711726,True
134,-0.0485355716814315,5.335491954340539e-05,0.0009051087627588775,False
135,-0.0250822073711517,5.975346072230742e-05,0.00024318048475282063,False
136,-0.1854612328477655,0.28754384567496255,6.376796580796183,False
139,0.4135383126728178,3.123860928596769,11.931741785474555,True
141,0.3585985549039082,9.786570122495396,9.387308738624103,True
142,0.0549841034777758,1.9780812370925411,2.5477914250218707,True
143,-0.2615709765856692,0.004149890070161787,0.024175388503660435,False
145,-0.0171254518647621,5.010085819983015e-05,9.36194321959433e-05,False
146,-0.0379826252668903,7.27477852407863e-06,0.0001870437614578546,False
147,-0.0471134368215357,0.010503500710308368,0.2641846099130667,False
148,-0.2343378818665903,1.6635375671130072e-08,2.8718033174187746e-06,False
149,0.0509585040276511,2.1372930299369317,2.235762327869751,True
150,-0.3698132921789108,1.0468116096253908e-07,1.5377915904096142e-06,False
151,0.1625231424478824,3.508275492373557,3.7003325665630262,True
152,-0.2845235763702297,0.02934628797551544,0.03228914078330994,False
153,-0.0279917581701655,2.2162507582040307e-14,6.636818636010849e-13,False
154,0.0167070897122361,1.431865472191488,8.723942601728886,True
155,-0.0442749300182893,0.11103022651247102,1.4266466793494874,False
156,-0.024836340726335,0.1388991526456014,0.8173982229796523,False
157,0.088278273141189,5.505003405962852,6.385207008980599,True
158,-0.2804755044324163,0.015034273065173784,1.060109477368964,False
159,0.1452134487990544,11.35702230245626,13.363670162439972,True
161,-0.0237734283976276,0.005338033091688496,0.010511216798020724,False
162,-0.0400780244254789,6.10917314848085e-08,1.2807940481833321e-06,False
163,-0.0157613306074809,0.00010504647643888796,3.9937726197768295e-05,False
164,-0.0234731431635517,2.3612893061746547e-07,2.297210076656473e-07,False
165,0.0417502329694119,1.4887860159256836,1.9407212527636597,True
166,-0.0236587694265445,0.002923828305538221,0.03869178358790779,False
167,1.0222576318391634,1.8914954635004064,12.03630882158822,True
168,-0.0835078077786832,0.0003308855788718996,0.002986195081344288,False
170,0.0082150231193506,1.5817324825413295,3.2879381270622323,True
172,-0.1361672909265077,0.002085796610609155,0.009117639798886875,False
173,0.3207766684679671,10.116109530705499,10.101139244356753,True
174,-0.0315615678857724,1.1557035501734488e-11,1.444778503692864e-10,False
175,-0.1491811723517468,0.0003576929002375366,0.008209416811265875,False
176,-0.0139090097829652,0.029646718577403048,0.19366377633563392,False
177,0.0334278772408885,2.5014315194706955,1.2142334699670043,True
178,-0.0340917254438899,6.770691358688567e-05,0.0027087135721655543,False
181,0.6550990159091622,9.702964370588994,9.425756857777218,True
182,0.2851466835266613,3.4879254967193645,3.574139207742284,True
183,-0.0633558674426574,0.10344718724923037,3.1797770905282845,False
185,-0.0235873460721027,5.205863331743221e-10,3.1778518808863957e-08,False
186,0.3770220704905092,6.730060160210841,7.807867214073192,True
187,-0.070763871862007,0.05059008246238626,0.13345787362168465,False
188,-0.0353341597084699,0.4164728165324569,1.7920841924061564,False
189,0.2883084739113349,11.97290308451469,12.1641322734808,True
191,-0.0258326737854303,1.4050272709702272e-05,4.7241979801239394e-05,False
192,0.3082605318773001,4.690198652858925,5.6179758944536,True
193,-0.0114625280718061,1.861083701142409e-07,7.343031791574838e-08,False
194,-0.0221870888983583,0.004147370141730341,0.003896430595888443,False
195,-0.2571687011867386,2.431429465918062e-05,0.00011915911819967459,False
196,-0.0487324039821227,3.6461890384303e-07,2.6926687609963435e-06,False
197,-0.0192233323444137,0.9016563966492509,5.2205362679333716,False
198,-0.0314291716592298,3.6849655885874724e-09,3.172333491132947e-09,False
199,-0.0227409475172234,1.7978314821929755e-11,1.646121207560216e-10,False
200,0.0679015946259568,3.8720739394913792,4.205816157877385,True
201,0.0843933539448223,4.711535054319974,6.320113176692839,True
202,-0.032035976242558,0.028585078390670773,0.020012880800743534,False
203,0.9724915148738172,3.2949739647727476,6.708361442753147,True
204,-0.0667571420160231,6.006961464709074e-07,2.256994509339549e-07,False
206,-0.0302787737056663,6.120314741321039e-05,5.106338556414084e-05,False
207,-0.120497731738574,0.003533361332272493,0.20393650838993366,False
208,-0.0286340894464081,0.5744963523440889,1.0400072232230315,False
210,-0.0216847915422479,0.004229401474966149,0.05986982368535509,False
211,-0.0900071270847509,8.257059848703747e-11,1.0277402368543388e-10,False
212,0.1565612498826588,4.775560778434244,13.920375840506894,True
214,-0.2534275098104935,1.640832772532378e-05,3.102542175233295e-05,False
215,0.001913188308915,1.0484763656319633,3.3136929426075814,True
216,-0.0562566554990854,1.3371945923764216e-11,1.1957482113794477e-10,False
217,0.0792333446849922,1.3679860431739619,1.3889290244901344,True
218,0.2744080431416377,12.06424262857787,12.924701111478953,True
