parameter,tier,multiplier,value,n_branches,branch,D_star,N_star,A_star,ASC_star,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,oscillatory
lam_D,tier1,0.5,2.5,1,0,13.50491970635508,0.01871102277372547,0.9096870966585971,0.3462453252836405,-0.03364926609524407,-0.1000000000000011,-3.0,False
lam_D,tier1,0.5946035575013605,2.9730177875068025,1,0,16.350288633777094,0.015459859686330098,0.9099834051931446,0.34591889880361976,-0.033233443577906065,-0.09999999999997779,-3.0,False
lam_D,tier1,0.7071067811865476,3.5355339059327378,1,0,19.73484805621372,0.012811864840975247,0.9102247414322149,0.34565332992196957,-0.03288770341495357,-0.10000000000000879,-3.0,False
lam_D,tier1,0.8408964152537145,4.204482076268572,1,0,23.760457536338073,0.010643528230179845,0.9104223619840849,0.34543606501663887,-0.032599737350292056,-0.10000000000000873,-3.0,False
lam_D,tier1,1.0,5.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
lam_D,tier1,1.189207115002721,5.946035575013605,1,0,34.242443537163744,0.007387835009007081,0.9107190833915841,0.3451101839023229,-0.032158929220765936,-0.10000000000003977,-3.0,False
lam_D,tier1,1.414213562373095,7.071067811865475,1,0,41.01434339745506,0.0061687781495550825,0.9108301873078887,0.34498826506540536,-0.03199120830005465,-0.1000000000000396,-3.0,False
lam_D,tier1,1.681792830507429,8.408964152537145,1,0,49.0678351183801,0.005156820225322609,0.9109224163845276,0.34488710119589994,-0.03185085668381176,-0.09999999999997682,-3.0,False
lam_D,tier1,2.0,10.0,1,0,58.645353077928874,0.004315010532085929,0.91099913828062,0.3448029763788547,-0.03173331846861379,-0.10000000000000796,-3.0,False
lam_D,tier2,0.1,0.5,1,0,1.5560340052022636,0.16009389646504188,0.8968015689297684,0.36083936013881773,-0.04576927496058432,-0.09999999999999999,-3.0,False
lam_D,tier2,0.1778279410038923,0.8891397050194615,1,0,3.8387778763217195,0.06551717820762082,0.9054212192013308,0.3509898226497151,-0.038744370190884156,-0.09999999999999942,-3.0,False
lam_D,tier2,0.31622776601683794,1.5811388300841898,1,0,7.9820832060256555,0.031616325855730404,0.9085109171371992,0.34754504152748633,-0.03521138590435209,-0.10000000000000624,-3.0,False
lam_D,tier2,0.5623413251903491,2.8117066259517456,1,0,15.379853720124315,0.0164337397167726,0.9098946465068257,0.3460166369752511,-0.033358992824186036,-0.09999999999997743,-3.0,False
lam_D,tier2,1.0,5.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
lam_D,tier2,1.7782794100389228,8.891397050194614,1,0,51.97190163822745,0.004868809644868453,0.9109486654500879,0.3448583163249138,-0.03181072361107221,-0.09999999999997654,-3.0,False
lam_D,tier2,3.1622776601683795,15.811388300841898,1,0,93.6290250690723,0.002703180149903372,0.9111460392774772,0.3446419758240881,-0.03150625263970164,-0.10000000000003297,-3.0,False
lam_D,tier2,5.623413251903491,28.117066259517458,1,0,167.708859175829,0.0015093200655671487,0.9112548467788344,0.34452278843730394,-0.031336342012996954,-0.09999999999994234,-3.0,False
lam_D,tier2,10.0,50.0,1,0,299.4445088520748,0.000845375846136895,0.9113153581507318,0.34445652783119823,-0.03124120604558952,-0.0999999999995703,-3.0,False
lam_N,tier1,0.5,0.5,1,0,49.05497393540559,0.0025790857688985135,0.4554611466134675,2.2225318765813515,-0.09578147939097889,-0.10000000000000211,-3.0,False
lam_N,tier1,0.5946035575013605,0.5946035575013605,1,0,48.58527059567753,0.0030967029064705464,0.5416349351793844,1.4524048859748913,-0.09104488686390748,-0.10000000000003365,-3.0,False
